Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj
FDLR - FMLR,12.725964549617373,4.242037378362252e-37,5.938852329707153e-36,FDLR - FMLR,9.519851406142731,1.734268646661713e-21,2.6014029699925692e-20,FDLR - FMLR,-11.334908395299054,8.812425401041891e-30,1.4981123181771213e-28,FDLR - FMLR,11.28844480527711,1.4966128678385687e-29,1.7959354414062825e-28,FDLR - FMLR,-8.641162184111591,5.564406146845242e-18,7.790168605583339e-17,FDLR - FMLR,-5.751403965723027,8.850535119037014e-9,7.080428095229611e-8,FDLR - FMLR,12.129748067902476,7.347512924417088e-34,1.1756020679067341e-32
FDLR - FSLR,14.806886671539038,1.3222424350055115e-49,2.3800363830099207e-48,FDLR - FSLR,14.040048074343373,8.865247446093337e-45,1.5957445402968007e-43,FDLR - FSLR,-14.258582920883022,3.964226813898232e-46,7.532030946406641e-45,FDLR - FSLR,19.27639944169944,8.477611812117994e-83,1.441194008060059e-81,FDLR - FSLR,-7.197646784988865,6.12605870549819e-13,6.7386645760480085e-12,FDLR - FSLR,-1.2342108543537504,0.21712434381017148,0.21712434381017148,FDLR - FSLR,17.201766468912147,2.575584389615229e-66,4.893610340268935e-65
FMLR - FSLR,5.205512411523857,1.9346201552395708e-7,1.7411581397156137e-6,FMLR - FSLR,8.074889412627902,6.753782712976244e-16,8.779917526869117e-15,FMLR - FSLR,-6.146320314066856,7.930106311263827e-10,1.0309138204642976e-8,FMLR - FSLR,13.282508829147039,2.924296547360293e-40,3.801585511568381e-39,FMLR - FSLR,0.495192825071399,0.6204640148035747,1,FMLR - FSLR,5.346833880351886,8.950609404248157e-8,5.370365642548893e-7,FMLR - FSLR,9.31888409013673,1.1757028407402861e-20,1.6459839770364004e-19
FDLR - HRRF,1.0254321622689526,0.30515931904320975,0.30515931904320975,FDLR - HRRF,-5.44659947877909,5.134189417344709e-8,4.6207704756102386e-7,FDLR - HRRF,-11.826787876223932,2.837952712387683e-32,5.10831488229783e-31,FDLR - HRRF,-4.4185281111815895,9.937535632055021e-6,2.9812606896165062e-5,FDLR - HRRF,-15.023072991531077,5.184727857237695e-51,1.088792850019916e-49,FDLR - HRRF,-14.4630582908684,2.073748878977283e-47,4.147497757954566e-46,FDLR - HRRF,0.10630759113327935,0.9153383088695131,0.9153383088695131
FMLR - HRRF,-14.538480709754499,6.910949634243293e-48,1.1748614378213598e-46,FMLR - HRRF,-19.730143792212253,1.1883186916232709e-86,2.3766373832465418e-85,FMLR - HRRF,-2.6021889129721965,0.009263081108685036,0.055578486652110216,FMLR - HRRF,-20.488720131817583,2.71435225430776e-93,4.8858340577539675e-92,FMLR - HRRF,-10.5435556641695,5.440231156293839e-26,1.0336439196958295e-24,FMLR - HRRF,-13.378688862153576,8.055584737585951e-41,1.4500052527654711e-39,FMLR - HRRF,-15.09862652791556,1.6534162779723503e-51,2.9761493003502307e-50
FSLR - HRRF,-16.257387510318416,1.9800240246177852e-59,3.762045646773792e-58,FSLR - HRRF,-22.907213107900706,3.937416101249617e-116,8.268573812624196e-115,FSLR - HRRF,3.004357730520211,0.00266142196544011,0.02395279768896099,FSLR - HRRF,-27.87986865532246,4.681104757669883e-171,9.830319991106754e-170,FSLR - HRRF,-9.049515770126975,1.4360373211703148e-19,2.154055981755472e-18,FSLR - HRRF,-15.425539033742204,1.1023094451234608e-53,2.3148498347592678e-52,FSLR - HRRF,-20.153195041454428,2.522932274983246e-90,5.298157777464817e-89
FDLR - INPR,13.576570811468484,5.514858069228805e-42,8.272287103843208e-41,FDLR - INPR,5.89409255637423,3.767459655282853e-9,3.767459655282853e-8,FDLR - INPR,-8.103901153073489,5.32243541860072e-16,7.983653127901079e-15,FDLR - INPR,16.15829268170707,9.927319005140204e-59,1.5883710408224327e-57,FDLR - INPR,-1.1681237731743308,0.2427568422295119,0.7282705266885358,FDLR - INPR,2.701076516161088,0.006911543576407019,0.02073463072922106,FDLR - INPR,6.308003175579434,2.82658417838049e-10,2.82658417838049e-9
FMLR - INPR,6.3690733547908005,1.901736446206211e-10,1.9017364462062108e-9,FMLR - INPR,-0.2077693919859787,0.8354090327289603,0.8354090327289603,FMLR - INPR,-1.0196224669136744,0.3079075455357486,0.9237226366072459,FMLR - INPR,10.450683528185236,1.4547296455898574e-25,1.600202610148843e-24,FMLR - INPR,5.06736403176,4.0336243036520393e-7,2.8235370125564275e-6,FMLR - INPR,7.430934939403141,1.0783274494973431e-13,1.2939929393968117e-12,FMLR - INPR,-1.666986558345451,0.0955170776917813,0.1910341553835626
FSLR - INPR,2.9800046480175593,0.0028824400975325333,0.017294640585195198,FSLR - INPR,-4.695870359389325,2.6547388165543504e-6,1.8583171715880452e-5,FSLR - INPR,2.486355383700389,0.01290590120772896,0.0645295060386448,FSLR - INPR,2.2453128355861693,0.024748056610491415,0.04949611322098283,FSLR - INPR,4.404819730613432,1.0587188218563755e-5,6.352312931138253e-5,FSLR - INPR,3.882083982779149,1.0356509521720062e-4,5.178254760860031e-4,FSLR - INPR,-6.737700135138918,1.6091321901546185e-11,1.7700454091700803e-10
HRRF - INPR,13.917341787433507,4.970488009184755e-44,7.952780814695608e-43,HRRF - INPR,10.660549083822845,1.5567561295647193e-26,2.490809807303551e-25,HRRF - INPR,0.48380420671318003,0.6285248293082029,1,HRRF - INPR,20.984195609956334,9.145731416840294e-98,1.7376889691996559e-96,HRRF - INPR,10.5098567124573,7.781168092404767e-26,1.400610256632858e-24,HRRF - INPR,14.266266462558528,3.550865383083635e-46,6.746644227858906e-45,HRRF - INPR,6.756477774122458,1.4138665755239552e-11,1.6966398906287463e-10
FDLR - MCPR,17.165693115640632,4.797219607772574e-66,9.594439215545148e-65,FDLR - MCPR,7.6855906131159815,1.5229277076428918e-14,1.675220478407181e-13,FDLR - MCPR,-14.43358853168355,3.18090965642579e-47,6.361819312851579e-46,FDLR - MCPR,15.894709082050888,6.894779321493382e-57,1.0342168982240072e-55,FDLR - MCPR,-9.976753744486173,1.9266724313549494e-23,3.2753431333034137e-22,FDLR - MCPR,-6.251990165939323,4.0525491848153883e-10,4.052549184815389e-9,FDLR - MCPR,2.606320873096892,0.009152068013774092,0.03660827205509637
FMLR - MCPR,8.357912624686113,6.38376978387294e-17,7.022146762260234e-16,FMLR - MCPR,-1.2050782435655936,0.2281730978589204,0.6845192935767612,FMLR - MCPR,-6.206488609518548,5.418154592292548e-10,7.585416429209566e-9,FMLR - MCPR,8.38012886585944,5.2869785887701496e-17,3.700885012139105e-16,FMLR - MCPR,-3.2464209647927955,0.001168658921843551,0.005843294609217755,FMLR - MCPR,-1.5990007630309102,0.10982043305656797,0.21964086611313594,FMLR - MCPR,-11.930376582097896,8.220078941454445e-33,1.2330118412181666e-31
FSLR - MCPR,2.3445678109760615,0.019049146216647397,0.07619658486658959,FSLR - MCPR,-7.856294221089311,3.956650494855394e-15,4.747980593826473e-14,FSLR - MCPR,0.20189850089547745,0.8399960740559184,0.8399960740559184,FSLR - MCPR,-4.518069668217684,6.2405952514222525e-6,2.496238100568901e-5,FSLR - MCPR,-3.055000223363009,0.002250603545150207,0.009002414180600828,FSLR - MCPR,-5.85181809270041,4.8622826851784015e-9,4.3760544166605614e-8,FSLR - MCPR,-17.615261541701003,1.8811770289548514e-69,3.762354057909703e-68
HRRF - MCPR,19.1939069048756,4.1614602657938566e-82,8.7390665581671e-81,HRRF - MCPR,15.723027634582415,1.0517531361630598e-55,1.9983309587098135e-54,HRRF - MCPR,-2.9026328799998113,0.0037004013892395203,0.029603211113916162,HRRF - MCPR,24.25301003943752,6.145924033808839e-130,1.2291848067617676e-128,HRRF - MCPR,6.260738621026411,3.831582792397945e-10,3.4484245131581503e-9,HRRF - MCPR,10.018165003941712,1.2683588724119265e-23,1.7757024213766972e-22,HRRF - MCPR,2.973890589027988,0.002940499024804874,0.017642994148829243
INPR - MCPR,-1.4663742484530589,0.14254635788852055,0.42763907366556164,INPR - MCPR,-0.4547057379699742,0.6493209522854344,1,INPR - MCPR,-2.389155502511627,0.016887152992010143,0.06754861196804057,INPR - MCPR,-5.280870838282356,1.2857130793381507e-7,6.428565396690754e-7,INPR - MCPR,-6.500292173372534,8.016416504065186e-11,8.016416504065186e-10,INPR - MCPR,-7.82822549691645,4.948038856049702e-15,6.432450512864612e-14,INPR - MCPR,-4.867197779586241,1.1319173783580917e-6,9.055339026864734e-6
FDLR - OFPR,11.11257950961791,1.0896556180770762e-28,1.3075867416924913e-27,FDLR - OFPR,4.701819631488997,2.5785322966791788e-6,2.062825837343343e-5,FDLR - OFPR,-15.654592277327838,3.0908775596160864e-55,6.490842875193781e-54,FDLR - OFPR,8.826170673612067,1.0832068528438239e-18,8.665654822750591e-18,FDLR - OFPR,-13.454772242778953,2.8862726103855905e-41,5.772545220771181e-40,FDLR - OFPR,-10.247181260779215,1.21845015471914e-24,1.8276752320787098e-23,FDLR - OFPR,4.362168815958032,1.2877943858548128e-5,9.01456070098369e-5
FMLR - OFPR,1.1284822614540189,0.259116304125966,0.518232608251932,FMLR - OFPR,-3.911560475130019,9.170168694866415e-5,5.502101216919849e-4,FMLR - OFPR,-8.586561625051134,8.961075758865761e-18,1.4337721214185218e-16,FMLR - OFPR,-0.3569689924063955,0.7211150189518726,0.7211150189518726,FMLR - OFPR,-8.548419458152269,1.247854946546222e-17,1.6222114305100886e-16,FMLR - OFPR,-7.39110451728449,1.456140987027314e-13,1.6017550857300456e-12,FMLR - OFPR,-7.128839501588084,1.0121867492670425e-12,1.3158427740471553e-11
FSLR - OFPR,-2.887451947537674,0.0038837592399323623,0.01941879619966181,FSLR - OFPR,-9.35285514906267,8.531303395128534e-21,1.194382475317995e-19,FSLR - OFPR,-2.834866449063158,0.0045844846224851205,0.032091392357395845,FSLR - OFPR,-10.153532671843866,3.195811815532762e-24,3.195811815532762e-23,FSLR - OFPR,-7.725357566361118,1.115397984871496e-14,1.338477581845795e-13,FSLR - OFPR,-10.325667838611746,5.394210329109648e-25,8.630736526575436e-24,FSLR - OFPR,-13.044378885888335,6.841224168807869e-39,1.1630081086973378e-37
HRRF - OFPR,11.661744177309071,1.9990488915019904e-31,2.5987635589525873e-30,HRRF - OFPR,11.089689367241837,1.4077575248435986e-28,2.3931877922341174e-27,HRRF - OFPR,-5.560375485502127,2.6919485189932557e-8,3.230338222791907e-7,HRRF - OFPR,14.740083999668345,3.563412623715984e-49,4.988777673202377e-48,HRRF - OFPR,0.3064268711244572,0.7592796515378363,0.7592796515378363,HRRF - OFPR,3.3961533538457407,6.834005925226647e-4,0.002733602370090659,HRRF - OFPR,4.887813677845816,1.0196195836573367e-6,9.17657625291603e-6
INPR - OFPR,-4.894230267015203,9.869123176438381e-7,6.9083862235068665e-6,INPR - OFPR,-2.2240666085763796,0.026143963092674517,0.10457585237069807,INPR - OFPR,-4.387751948489173,1.1452828684181281e-5,1.259811155259941e-4,INPR - OFPR,-9.389431654816555,6.032488314130544e-21,5.42923948271749e-20,INPR - OFPR,-9.705239976279145,2.864015467743022e-22,4.582424748388835e-21,INPR - OFPR,-11.06715271963253,1.8106228647933984e-28,3.078058870148777e-27,INPR - OFPR,-2.9229471791678896,0.0034673533141804306,0.017336766570902152
MCPR - OFPR,-5.059300958376669,4.2079626370281845e-7,3.3663701096225476e-6,MCPR - OFPR,-2.5836573955967963,0.009775885003188416,0.048879425015942085,MCPR - OFPR,-3.0909825818001386,0.0019949533618420097,0.0199495336184201,MCPR - OFPR,-6.388199731967133,1.6785001735159307e-10,1.0071001041095584e-9,MCPR - OFPR,-5.202307935067139,1.968287340651251e-7,1.5746298725210007e-6,MCPR - OFPR,-5.373320773681539,7.729963562685274e-8,5.410974493879692e-7,MCPR - OFPR,2.3451674183709796,0.019018537594193384,0.05705561278258015
